,ScalingFactorS,LoadScalingFactor,electricEnergyKwh,naturalGasEnergyKwh,districtHeatingEnergyKwh,volumeFlowMainVentilatorM3H,PowerDemandMainVentilator,TemperatureBeforeMainVentilator,TemperatureAfterMainVentilator,volumeFlowRegenerationVentilatorM3H,PowerDemandRegenerationVentilator,TemperatureRegenerationHeater,HeatFlowRegenerationHeater,HeatFlowPreCooler/Heater-amb-1,TemperaturePreCooler-amb-1,HeatFlowPreCooler-3-4,TemperaturePreCooler-3-4,HeatFlowPreHeater-5-In,TemperaturePreHeater-5-In,FluidTemperatureInHeatRecoveryUnit,TemperatureInPurgeAir,DewPointTemperatureDryRoom,TemperatureDryRoom,DryRoomHeatLoad,DryRoomMoistureLoad,OutsideRelativeHumidity,OutsideTemperatureDegrees,Preheating,locationVariant
105,5.0,1.0,2138041.2,2306153.8,1562224.2,15.314584,38779.21,294.52927,295.1985,4.588,7432.409,397.73505,410376.16,176171.64,283.15,-50.0,293.471,166000.0,311.54202,344.927,310.51837,14.125296,302.0392,10118.75,0.0013888889,0.7190689666166363,7.111542263356154,165057.5,OT-16
106,6.0,1.0,2559892.8,2728162.2,1903150.9,18.3775,46557.492,294.40112,295.0703,5.5056,8911.2295,397.73502,490956.12,211480.25,283.15,-60.0,293.48053,199200.0,311.30014,345.46133,310.71823,14.114314,301.83765,12142.5,0.0013888889,0.719068972843157,7.111542065305719,198115.73,OT-17
107,7.0,1.0,2983571.5,3142852.8,2244265.0,21.440416,54338.547,294.30682,294.97586,6.4232,10389.895,397.73502,571473.8,246784.34,283.15,-70.0,293.49777,232400.0,311.0272,345.85583,310.91745,14.094895,301.6716,14166.25,0.0013888889,0.7190689800602182,7.111542140738031,231174.92,OT-18
108,8.0,1.0,3407087.2,3551631.5,2585338.2,24.503334,62119.68,294.22986,294.8988,7.3408,11868.402,397.73502,652007.75,282092.7,283.15,-80.0,293.53168,265600.0,310.94855,346.16006,311.0963,14.080327,301.5382,16190.0,0.0013888889,0.71906897291795,7.111541969215803,264234.88,OT-19
109,9.0,1.0,3830414.2,3955260.0,2926217.5,27.56625,69899.35,294.16617,294.83505,8.2584,13346.833,397.73502,729483.9,317385.94,283.15,-90.0,293.63702,298800.0,310.91248,346.40112,311.24927,14.068982,301.42908,18213.75,0.0013888889,0.7190689753739521,7.111541841584801,297287.3,OT-20
110,0.5,2.0,219912.39,283018.94,66018.14,1.5314584,3938.7014,296.60248,297.27466,0.4588,746.5941,397.73514,67578.586,17532.846,283.15,-5.0,293.60495,14681.192,313.33673,337.12433,309.82144,14.267362,305.24634,2023.75,0.000800079,0.7190689769708664,7.111541839209549,16475.482,OT-21
111,1.0,2.0,431644.72,545809.1,189593.19,3.0629168,7785.177,296.11716,296.7874,0.9176,1482.777,397.73502,93783.31,35067.258,283.15,-10.0,293.57538,33200.0,312.64795,341.5259,309.9871,14.269897,304.54626,4047.5,0.0013888889,0.7190689612362933,7.11154251111769,32950.82,OT-22
112,2.0,2.0,862109.56,1044987.3,496205.38,6.1258335,15505.8545,295.53156,296.20154,1.8352,2941.147,397.73502,181495.33,70175.086,283.15,-20.0,293.5518,66400.0,311.85873,342.19434,310.1742,14.271165,303.70987,8095.0,0.0013888889,0.7190689401312579,7.111542706550105,65904.53,OT-23
113,3.0,2.0,1292292.8,1510639.5,823413.75,9.18875,23255.215,295.19702,295.86682,2.7528,4394.7705,397.73502,267087.47,105422.42,283.15,-30.0,293.55383,99600.0,311.50262,343.0028,310.16757,14.249633,303.19412,12142.5,0.0013888889,0.7190689783579624,7.111542057015501,98893.54,OT-24
114,4.0,2.0,1719251.6,1957883.6,1153556.8,12.251667,31019.176,295.00037,295.66928,3.6704,5846.903,397.73502,353423.06,140681.56,283.15,-40.0,293.57968,132800.0,311.28046,344.1677,310.2838,14.182104,302.8014,16190.0,0.0013888889,0.7190689733355413,7.111542179041954,131909.08,OT-25
115,5.0,2.0,2145185.0,2392534.2,1484056.1,15.314584,38793.406,294.8523,295.52072,4.588,7298.399,397.73502,435644.75,175945.05,283.15,-50.0,293.60706,166000.0,311.54877,344.92764,310.4689,14.141464,302.5232,20237.5,0.0013888889,0.7190689781433204,7.111542043641693,164933.62,OT-26
116,6.0,2.0,2570258.5,2815894.8,1814361.2,18.3775,46572.87,294.73694,295.40512,5.5056,8749.543,397.73502,511922.9,211205.77,283.15,-60.0,293.63593,199200.0,311.30026,345.46143,310.67688,14.114315,302.3142,24285.0,0.0013888889,0.7190689729747916,7.11154217906421,197966.38,OT-27
117,7.0,2.0,2996948.8,3229373.8,2144388.0,21.440416,54356.707,294.64496,295.313,6.4232,10200.498,397.73502,587048.8,246475.62,283.15,-70.0,293.66608,232400.0,311.02734,345.8557,310.8771,14.094896,302.1514,28332.5,0.0013888889,0.7190689669210835,7.111542067622581,230994.53,OT-28
